event_uid,venue_uid,"start_date","end_date"
14599088,5762323,"2009-04-04","2009-04-04"
14604847,9919206,"2010-02-26","2010-04-03"
14605693,13275212,"2014-03-20","2014-03-20"
14605725,14330106,"2010-03-05","2010-03-27"
14607413,12330565,"2013-10-06","2013-01-20"
14611292,220855,"2009-02-26","2009-03-29"
14611314,3816741,"2013-05-30","2013-07-06"
14611733,13695903,"2016-02-27","2016-04-03"
14612705,13309569,"2019-06-01","2019-06-30"
14612897,10547616,"2012-09-08","2012-10-13"
14613509,11856697,"2013-03-21","2013-03-21"
14614272,8298559,"2018-10-10","2018-11-10"
14614773,6474523,"2007-07-14","2007-08-22"
14618821,6022610,"2014-03-14","2014-05-04"
14620528,1540059,"2017-01-13","2017-02-26"
14620933,6567283,"2011-01-21","2011-03-26"
14622069,1459984,"2011-04-28","2011-06-11"
14622260,5392379,"2012-09-06","2012-10-20"
14622636,5527059,"2008-02-22","2008-03-22"
14622682,2838960,"2013-01-26","2013-02-23"
14632004,10439642,"2017-04-21","2017-05-27"
14632475,16545239,"2009-02-12","2009-03-11"
14633500,5449928,"2011-10-25","2011-10-25"
14633904,8692473,"2016-10-22","2016-11-19"
14636235,6127990,"2012-01-21","2012-01-21"
14637481,1729644,"2015-01-09","2015-02-28"
14638350,1212828,"2015-08-22","2015-10-31"
14640347,5392379,"2013-10-10","2013-11-02"
14640407,13020476,"2014-01-10","2014-01-10"
14649176,2797286,"2016-11-18","2016-12-24"
14650802,3887462,"2008-09-06","2008-09-20"
14651129,14221280,"2007-03-02","2007-03-02"
14652530,11058957,"2015-09-17","2015-09-17"
14652713,8692473,"2011-10-19","2011-11-26"
14655835,3708126,"2017-12-02","2018-01-27"
14655926,13236364,"2014-10-25","2014-10-26"
14657198,16645125,"2016-05-13","2016-05-21"
14657523,12205918,"2017-11-21","2017-12-13"
14657603,10000716,"2012-11-03","2012-11-29"
14660888,15893567,"2011-06-10","2011-07-09"
14662555,4029071,"2015-11-21","2015-11-22"
14665012,13371986,"2018-01-27","2018-01-27"
14666502,11856697,"2017-05-05","2017-06-11"
